NAME_1,NAME_2,MU_GLOBAL,SAND_TOP,CLAY_TOP,SILT_TOP
Maharashtra,Sangli,3861.0,,,
Maharashtra,Satara,3820.0,,,
Maharashtra,Sindhudurg,3818.0,,,
Maharashtra,Solapur,3861.0,,,
Maharashtra,Thane,6669.0,,,
Maharashtra,Wardha,3861.0,,,
Maharashtra,Washim,3861.0,,,
Maharashtra,Yavatmal,3861.0,,,
Manipur,Bishnupur,4331.0,,,
Manipur,Chandel,4301.0,,,
Manipur,Churachandpur,4301.0,,,
Manipur,Imphal East,4276.0,,,
Manipur,Imphal West,4276.0,,,
Manipur,Senapati,4276.0,,,
Manipur,Tamenglong,4301.0,,,
Manipur,Thoubal,4276.0,,,
Manipur,Ukhrul,4301.0,,,
Meghalaya,East Garo Hills,3814.0,,,
Meghalaya,East Khasi Hills,3649.0,,,
Meghalaya,Jaintia Hills,3646.0,,,
Meghalaya,North Garo Hills,3814.0,,,
Meghalaya,Ri Bhoi,3647.0,,,
Meghalaya,South Garo Hills,3814.0,,,
Meghalaya,South West Garo Hills,3707.0,,,
Meghalaya,South West Khasi Hills,3647.0,,,
Meghalaya,West Garo Hills,3814.0,,,
Meghalaya,West Khasi Hills,3647.0,,,
Mizoram,Aizawl,4301.0,,,
Mizoram,Champhai,4301.0,,,
Mizoram,Kolasib,3665.0,,,
Mizoram,Lawangtlai,3665.0,,,
Mizoram,Lunglei,3665.0,,,
Mizoram,Mamit,3665.0,,,
Mizoram,Saiha,4301.0,,,
Mizoram,Serchhip,4301.0,,,
Nagaland,Dimapur,4276.0,,,
Nagaland,Kiphire,4276.0,,,
Nagaland,Kohima,4276.0,,,
Nagaland,Longleng,4276.0,,,
Nagaland,Mokokchung,4276.0,,,
Nagaland,Mon,4276.0,,,
Nagaland,Peren,4276.0,,,
Nagaland,Phek,4276.0,,,
Nagaland,Tuensang,4276.0,,,
Nagaland,Wokha,4276.0,,,
Nagaland,Zunheboto,4276.0,,,
NCT of Delhi,West,7001.0,,,
Odisha,Anugul,3791.0,,,
Odisha,Balangir,3770.0,,,
Odisha,Baleshwar,6663.0,,,
Odisha,Bargarh,3864.0,,,
Odisha,Bauda,3830.0,,,
Odisha,Bhadrak,6663.0,,,
Odisha,Cuttack,6667.0,,,
Odisha,Debagarh,3791.0,,,
Odisha,Dhenkanal,3791.0,,,
Odisha,Gajapati,6670.0,,,
Odisha,Ganjam,3830.0,,,
Odisha,Jagatsinghapur,6663.0,,,
Odisha,Jajapur,6667.0,,,
Odisha,Jharsuguda,3791.0,,,
Odisha,Kalahandi,3770.0,,,
Odisha,Kandhamal,3830.0,,,
Odisha,Kendrapara,6663.0,,,
Odisha,Kendujhar,3819.0,,,
Odisha,Khordha,6667.0,,,
Odisha,Koraput,3830.0,,,
Odisha,Malkangiri,3769.0,,,
Odisha,Mayurbhanj,3729.0,,,
Odisha,Nabarangapur,3791.0,,,
Odisha,Nayagarh,3830.0,,,
Odisha,Nuapada,3770.0,,,
Odisha,Puri,6667.0,,,
Odisha,Rayagada,3830.0,,,
Odisha,Sambalpur,3791.0,,,
Odisha,Subarnapur,3864.0,,,
Odisha,Sundargarh,3791.0,,,
Puducherry,Karaikal,3754.0,,,
Puducherry,Mahe,3844.0,,,
Puducherry,Puducherry,3845.0,,,
Puducherry,Yanam,3847.0,,,
Punjab,Amritsar,3874.0,,,
Punjab,Barnala,3874.0,,,
Punjab,Bathinda,3878.0,,,
Punjab,Faridkot,3878.0,,,
Punjab,Fatehgarh Sahib,3810.0,,,
Punjab,Fazilka,3878.0,,,
Punjab,Firozpur,3874.0,,,
Punjab,Gurdaspur,3874.0,,,
Punjab,Hoshiarpur,3739.0,,,
Punjab,Jalandhar,3810.0,,,
Punjab,Kapurthala,3810.0,,,
Punjab,Ludhiana,3810.0,,,
Punjab,Mansa,3878.0,,,
Punjab,Moga,3874.0,,,
Punjab,Muktsar,3878.0,,,
Punjab,Pathankot,3736.0,,,
Punjab,Patiala,3874.0,,,
Punjab,Rupnagar,3799.0,,,
Punjab,Sahibzada Ajit Singh Nagar,3739.0,,,
Punjab,Sangrur,3874.0,,,
Punjab,Shahid Bhagat Singh Nagar,3810.0,,,
Punjab,Tarn Taran,3874.0,,,
Rajasthan,Ajmer,3677.0,,,
Rajasthan,Alwar,3716.0,,,
Rajasthan,Banswara,3859.0,,,
Rajasthan,Baran,3861.0,,,
Rajasthan,Barmer,3541.0,,,
Rajasthan,Bharatpur,3686.0,,,
Rajasthan,Bhilwara,3677.0,,,
Rajasthan,Bikaner,3541.0,,,
Rajasthan,Bundi,3861.0,,,
Rajasthan,Chittaurgarh,3677.0,,,
Rajasthan,Churu,3541.0,,,
Rajasthan,Dausa,3677.0,,,
Rajasthan,Dhaulpur,3686.0,,,
Rajasthan,Dungarpur,3774.0,,,
Rajasthan,Ganganagar,3541.0,,,
Rajasthan,Hanumangarh,3541.0,,,
Rajasthan,Jaipur,3677.0,,,
Rajasthan,Jaisalmer,3541.0,,,
Rajasthan,Jalor,6673.0,,,
Rajasthan,Jhalawar,3861.0,,,
Rajasthan,Jhunjhunun,3541.0,,,
Rajasthan,Jodhpur,3541.0,,,
Rajasthan,Karauli,3714.0,,,
Rajasthan,Kota,3861.0,,,
Rajasthan,Nagaur,6673.0,,,
Rajasthan,Pali,6673.0,,,
Rajasthan,Pratapgarh,3859.0,,,
Rajasthan,Rajsamand,3677.0,,,
Rajasthan,Sawai Madhopur,3677.0,,,
Rajasthan,Sikar,3541.0,,,
Rajasthan,Sirohi,6673.0,,,
Rajasthan,Tonk,3677.0,,,
Rajasthan,Udaipur,3716.0,,,
Sikkim,East Sikkim,3662.0,,,
Sikkim,North Sikkim,3717.0,,,
Sikkim,South Sikkim,3662.0,,,
Sikkim,West Sikkim,3662.0,,,
Tamil Nadu,Ariyalur,3866.0,,,
Tamil Nadu,Chennai,7001.0,,,
Tamil Nadu,Coimbatore,3814.0,,,
Tamil Nadu,Cuddalore,3781.0,,,
Tamil Nadu,Dharmapuri,3781.0,,,
Tamil Nadu,Dindigul,3782.0,,,
Tamil Nadu,Erode,3782.0,,,
Tamil Nadu,Kancheepuram,3803.0,,,
Tamil Nadu,Kanniyakumari,3817.0,,,
Tamil Nadu,Karur,3782.0,,,
Tamil Nadu,Krishnagiri,3781.0,,,
Tamil Nadu,Madurai,3782.0,,,
Tamil Nadu,Nagappattinam,3754.0,,,
Tamil Nadu,Namakkal,3781.0,,,
Tamil Nadu,Perambalur,3781.0,,,
Tamil Nadu,Pudukkottai,3802.0,,,
Tamil Nadu,Ramanathapuram,3844.0,,,
Tamil Nadu,Salem,3781.0,,,
Tamil Nadu,Sivaganga,3782.0,,,
Tamil Nadu,Thanjavur,3754.0,,,
Tamil Nadu,The Nilgiris,3638.0,,,
Tamil Nadu,Theni,3782.0,,,
Tamil Nadu,Thiruvallur,3803.0,,,
Tamil Nadu,Thiruvarur,3754.0,,,
Tamil Nadu,Thoothukkudi,3844.0,,,
Tamil Nadu,Tiruchirappalli,3754.0,,,
Tamil Nadu,Tirunelveli,3780.0,,,
Tamil Nadu,Tiruppur,3782.0,,,
Tamil Nadu,Tiruvannamalai,3781.0,,,
Tamil Nadu,Vellore,3781.0,,,
Tamil Nadu,Viluppuram,3781.0,,,
Tamil Nadu,Virudunagar,3859.0,,,
Telangana,Adilabad,3782.0,,,
Telangana,Hyderabad,7001.0,,,
Telangana,Karimnagar,3866.0,,,
Telangana,Khammam,3782.0,,,
Telangana,Mahbubnagar,3782.0,,,
Telangana,Medak,3782.0,,,
Telangana,Nalgonda,3782.0,,,
Telangana,Nizamabad,3866.0,,,
Telangana,Ranga Reddy,3782.0,,,
Telangana,Warangal,3782.0,,,
Tripura,Dhalai,3665.0,,,
Tripura,Gomati,3665.0,,,
Tripura,Khowai,3665.0,,,
Tripura,North Tripura,3665.0,,,
Tripura,Sipahijala,3636.0,,,
Tripura,South Tripura,3636.0,,,
Tripura,Unokoti,3701.0,,,
Tripura,West Tripura,3636.0,,,
Uttar Pradesh,Agra,3686.0,,,
Uttar Pradesh,Aligarh,3810.0,,,
Uttar Pradesh,Allahabad,3812.0,,,
Uttar Pradesh,Ambedkar Nagar,3685.0,,,
Uttar Pradesh,Amethi,3685.0,,,
Uttar Pradesh,Amroha,3798.0,,,
Uttar Pradesh,Auraiya,3675.0,,,
Uttar Pradesh,Azamgarh,3685.0,,,
Uttar Pradesh,Baghpat,3810.0,,,
Uttar Pradesh,Bahraich,3685.0,,,
Uttar Pradesh,Ballia,3685.0,,,
Uttar Pradesh,Balrampur,3685.0,,,
Uttar Pradesh,Banda,3772.0,,,
Uttar Pradesh,Barabanki,3685.0,,,
Uttar Pradesh,Bareilly,3675.0,,,
Uttar Pradesh,Basti,3685.0,,,
Uttar Pradesh,Bijnor,3851.0,,,
Uttar Pradesh,Budaun,3798.0,,,
Uttar Pradesh,Bulandshahr,3810.0,,,
Uttar Pradesh,Chandauli,3812.0,,,
Uttar Pradesh,Chitrakoot,3772.0,,,
Uttar Pradesh,Deoria,3694.0,,,
Uttar Pradesh,Etah,3810.0,,,
Uttar Pradesh,Etawah,3675.0,,,
Uttar Pradesh,Faizabad,3685.0,,,
Uttar Pradesh,Farrukhabad,3798.0,,,
Uttar Pradesh,Fatehpur,3675.0,,,
Uttar Pradesh,Firozabad,3675.0,,,
Uttar Pradesh,Gautam Buddha Nagar,3810.0,,,
Uttar Pradesh,Ghaziabad,3810.0,,,
Uttar Pradesh,Ghazipur,3685.0,,,
Uttar Pradesh,Gonda,3685.0,,,
Uttar Pradesh,Gorakhpur,3694.0,,,
Uttar Pradesh,Hamirpur,3772.0,,,
Uttar Pradesh,Hapur,3810.0,,,
Uttar Pradesh,Hardoi,3685.0,,,
Uttar Pradesh,Hathras,3810.0,,,
Uttar Pradesh,Jalaun,3772.0,,,
Uttar Pradesh,Jaunpur,3685.0,,,
Uttar Pradesh,Jhansi,3772.0,,,
Uttar Pradesh,Kannauj,3675.0,,,
Uttar Pradesh,Kanpur Dehat,3675.0,,,
Uttar Pradesh,Kanpur Nagar,3675.0,,,
Uttar Pradesh,Kasganj,3798.0,,,
Uttar Pradesh,Kaushambi,3675.0,,,
Uttar Pradesh,Kushinagar,3685.0,,,
Uttar Pradesh,Lakhimpur Kheri,3685.0,,,
Uttar Pradesh,Lalitpur,3780.0,,,
Uttar Pradesh,Lucknow,3685.0,,,
Uttar Pradesh,Maharajganj,3685.0,,,
Uttar Pradesh,Mahoba,3772.0,,,
Uttar Pradesh,Mainpuri,3675.0,,,
Uttar Pradesh,Mathura,3810.0,,,
Uttar Pradesh,Mau,3685.0,,,
Uttar Pradesh,Meerut,3810.0,,,
