NAME_1,NAME_2,MU_GLOBAL,SAND_TOP,CLAY_TOP,SILT_TOP
Madhya Pradesh,Damoh,3861.0,14.2,32.45,17.05
Madhya Pradesh,Datia,3772.0,23.525,45.2,31.275
Madhya Pradesh,Dewas,3861.0,14.2,32.45,17.05
Madhya Pradesh,Dhar,3861.0,14.2,32.45,17.05
Madhya Pradesh,Dindori,3735.0,-1.2,-4.3,-3.4
Madhya Pradesh,East Nimar,3861.0,14.2,32.45,17.05
Madhya Pradesh,Guna,3861.0,14.2,32.45,17.05
Madhya Pradesh,Gwalior,3781.0,22.45,25.95,15.3
Madhya Pradesh,Harda,3866.0,21.0,53.1,25.9
Madhya Pradesh,Hoshangabad,3866.0,21.0,53.1,25.9
Madhya Pradesh,Indore,3861.0,14.2,32.45,17.05
Madhya Pradesh,Jabalpur,3861.0,14.2,32.45,17.05
Madhya Pradesh,Jhabua,3858.0,21.525,49.55,28.925
Madhya Pradesh,Katni,3861.0,14.2,32.45,17.05
Madhya Pradesh,Mandla,3861.0,14.2,32.45,17.05
Madhya Pradesh,Mandsaur,3861.0,14.2,32.45,17.05
Madhya Pradesh,Morena,3686.0,34.55,12.583333333333334,16.566666666666666
Madhya Pradesh,Narsimhapur,3866.0,21.0,53.1,25.9
Madhya Pradesh,Neemuch,3809.0,51.09,23.64,25.27
Madhya Pradesh,Panna,3780.0,15.283333333333333,28.7,19.716666666666665
Madhya Pradesh,Raisen,3861.0,14.2,32.45,17.05
Madhya Pradesh,Rajgarh,3861.0,14.2,32.45,17.05
Madhya Pradesh,Ratlam,3861.0,14.2,32.45,17.05
Madhya Pradesh,Rewa,3780.0,15.283333333333333,28.7,19.716666666666665
Madhya Pradesh,Sagar,3861.0,14.2,32.45,17.05
Madhya Pradesh,Satna,3780.0,15.283333333333333,28.7,19.716666666666665
Madhya Pradesh,Sehore,3861.0,14.2,32.45,17.05
Madhya Pradesh,Seoni,3861.0,14.2,32.45,17.05
Madhya Pradesh,Shahdol,3859.0,27.833333333333332,42.21666666666667,29.95
Madhya Pradesh,Shajapur,3861.0,14.2,32.45,17.05
Madhya Pradesh,Sheopur,3686.0,34.55,12.583333333333334,16.566666666666666
